"Pathways"	"TopCut_highestMinuslogP_meanUPandDOWN"	"maximum_MinuslogP_meanUPandDOWN"	"sum_MinuslogP_meanUPandDOWN"	"times_significant_meanUPandDOWN"	"FirstTopCut_significant_meanUPandDOWN"	"PEBBA_score_meanUPandDOWN"	"TopCut_highestMinuslogP_minUPandDOWN"	"maximum_MinuslogP_maxUPandDOWN"	"sum_MinuslogP_maxUPandDOWN"	"times_significant_maxUPandDOWN"	"FirstTopCut_significant_minUPandDOWN"	"PEBBA_score_maxUPandDOWN"	"TopCut_highestMinuslogP_up"	"maximum_MinuslogP_up"	"sum_MinuslogP_up"	"times_significant_up"	"FirstTopCut_significant_up"	"PEBBA_score_up"	"TopCut_highestMinuslogP_down"	"maximum_MinuslogP_down"	"sum_MinuslogP_down"	"times_significant_down"	"FirstTopCut_significant_down"	"PEBBA_score_down"	"TopCut_highestMinuslogP_any"	"maximum_MinuslogP_any"	"sum_MinuslogP_any"	"times_significant_any"	"FirstTopCut_significant_any"	"PEBBA_score_any"
"Amine compound SLC transporters"	700	0.0184254950519611	0.0533580889873984	0	0	0.00500768753760438	100	0.0184254950519611	0.0533580889873984	0	0	0.00500768753760438	700	0.0184254950519611	0.0533580889873984	0	0	0.00500768753760438	100	0	0	0	0	0	250	0.729765280373184	6.82240617581363	0.0344827586206897	250	0.200678040676553
"Amine_derived hormones"	100	0	0	0	0	0	100	0	0	0	0	0	100	0	0	0	0	0	100	0	0	0	0	0	500	0.490500600510684	4.7911704688308	0	0	0.119799773319765
"Amine ligand_binding receptors"	1250	0.000117583616180589	0.000336970547233135	0	0	0.0000259234537623683	100	0.000117583616180589	0.000336970547233135	0	0	0.0000259234537623683	1250	0.000117583616180589	0.000336970547233135	0	0	0.0000259234537623683	100	0	0	0	0	0	1500	0.0013715680256767	0.0013715680256767	0	0	0.000281270786037772
"Amino acid and oligopeptide SLC transporters"	100	0.917439617866006	5.06282834873704	0.0344827586206897	100	0.300229645255002	100	0.917439617866006	5.06282834873704	0.0344827586206897	0	0.300229645255002	100	0.917439617866006	5.06282834873704	0.0344827586206897	100	0.300229645255002	800	0.0478846736446742	0.409284377388557	0	0	0.0122129228569631	450	0.11683440069982	0.775758518564467	0	0	0.0353271910012031
"Amino acid synthesis and interconversion transamination"	100	0	0	0	0	0	100	0	0	0	0	0	100	0	0	0	0	0	100	0	0	0	0	0	550	0.13358875383242	0.711264048880396	0	0	0.0373818889906261
"Amino acid transport across the plasma membrane"	100	0.917439617866006	6.28499805537853	0.0344827586206897	100	0.300229645255002	100	0.917439617866006	6.28499805537853	0.0344827586206897	0	0.300229645255002	100	0.917439617866006	6.28499805537853	0.0344827586206897	100	0.300229645255002	100	0	0	0	0	0	450	0.126160641200246	0.816397951266527	0	0	0.0379732781204591
"Amyloid fiber formation"	500	0.0379605494643854	0.165051336664632	0	0	0.01151059837972	500	0.0379605494643854	0.165051336664632	0	0	0.01151059837972	500	0.0379605494643854	0.165051336664632	0	0	0.01151059837972	1500	0.00703317486586234	0.0134298132110682	0	0	0.00143823597888358	100	1.07448159118659	5.51691263607191	0.0344827586206897	100	0.329262633532621
"Anchoring of the basal body to the plasma membrane"	750	0.239681034072129	1.54586439936323	0	0	0.0570054198014898	150	0.239681034072129	1.54586439936323	0	0	0.0593384293218726	750	0.239681034072129	1.54586439936323	0	0	0.0570054198014898	150	0.141578387369745	1.08569112610982	0	0	0.0593384293218726	300	0.049975019544097	0.295675522192031	0	0	0.0178425719326845
"Antigen activates B Cell Receptor BCR leading to generation of second messengers"	450	0.0563098633968081	0.22136120006144	0	0	0.0175418735224042	300	0.095722952278338	0.823771827516769	0	0	0.0334123585566339	450	0.0563098633968081	0.22136120006144	0	0	0.0175418735224042	300	0.095722952278338	0.823771827516769	0	0	0.0334123585566339	550	0.63977783157011	6.94538748049757	0	0	0.141273855669996
"Antigen Presentation: Folding assembly and peptide loading of class I MHC"	100	0	0	0	0	0	100	0.525523808247325	2.41686213718057	0	0	0.204377208035966	100	0	0	0	0	0	100	0.525523808247325	2.41686213718057	0	0	0.204377208035966	100	0.816693793909304	8.30939281264977	0.0344827586206897	100	0.279054888920671
"Antigen processing_Cross presentation"	250	0.087749772900765	0.367183690356218	0	0	0.0325476279841267	100	0.231763917830088	1.23651720124772	0	0	0.10343332707641	250	0.087749772900765	0.367183690356218	0	0	0.0325476279841267	100	0.231763917830088	1.23651720124772	0	0	0.10343332707641	100	0.985916846952085	7.30305163402224	0.0344827586206897	100	0.31345150138512
"Antiviral mechanism by IFN_stimulated genes"	100	0.382325428374813	1.26505068953377	0	0	0.158863506957581	100	0.432520774977552	1.81755092467586	0	0	0.175564313646888	100	0.382325428374813	1.26505068953377	0	0	0.158863506957581	100	0.432520774977552	1.81755092467586	0	0	0.175564313646888	100	0.510888143797809	3.02476496333158	0	0	0.200018755423244
"APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint"	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	100	0.255256968713326	1.56936672191936	0	0	0.112641302875763	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	100	0.255256968713326	1.56936672191936	0	0	0.112641302875763	100	0.535522917202704	3.83975922898683	0	0	0.207318443171333
"APC_Cdc20 mediated degradation of Nek2A"	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	100	0.432520774977552	2.56667279168983	0	0	0.175564313646888	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	100	0.432520774977552	2.56667279168983	0	0	0.175564313646888	100	0.950219229637238	6.7359359536989	0.0344827586206897	100	0.306671876173376
"APCslashC:Cdc20 mediated degradation of Cyclin B"	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	100	0.432520774977552	2.71182001879759	0	0	0.175564313646888	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	100	0.432520774977552	2.71182001879759	0	0	0.175564313646888	100	0.975458182637225	7.02940777921522	0.0344827586206897	100	0.31149021491897
"APCslashC:Cdc20 mediated degradation of mitotic proteins"	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	100	0.255234434238033	1.56712601559662	0	0	0.112632573852422	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	100	0.255234434238033	1.56712601559662	0	0	0.112632573852422	100	0.53357665058821	3.720666904949	0	0	0.2067482521367
"APCslashC:Cdc20 mediated degradation of Securin"	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	100	0.255256968713326	1.56936672191936	0	0	0.112641302875763	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	100	0.255256968713326	1.56936672191936	0	0	0.112641302875763	100	0.535522917202704	3.83975922898683	0	0	0.207318443171333
"APCslashC:Cdh1 mediated degradation of Cdc20 and other APCslashC:Cdh1 targeted proteins in late mitosisslashearly G1"	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	100	0.252465976352649	1.56054428056378	0	0	0.111558677614603	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	100	0.252465976352649	1.56054428056378	0	0	0.111558677614603	100	0.525630895263083	3.5860918546752	0	0	0.204408863703562
"APCslashC_mediated degradation of cell cycle proteins"	650	0.0284745759093243	0.0815293809419104	0	0	0.00790897834664147	100	0.248860220756543	1.53615101103271	0	0	0.110155524950121	650	0.0284745759093243	0.0815293809419104	0	0	0.00790897834664147	100	0.248860220756543	1.53615101103271	0	0	0.110155524950121	100	0.510888143797809	3.09211898153025	0	0	0.200018755423244
"Apoptotic cleavage of cellular proteins"	150	0.380583603288352	1.34888112526284	0	0	0.142280394569629	150	0.380583603288352	1.34888112526284	0	0	0.142280394569629	150	0.380583603288352	1.34888112526284	0	0	0.142280394569629	1000	0.0344235580895607	0.446894728514029	0	0	0.00812963733205755	100	0.448913022609719	2.53737077508285	0	0	0.180839192086165
"Apoptotic execution  phase"	150	0.323889373229566	1.1320813400788	0	0	0.124360211327394	150	0.323889373229566	1.1320813400788	0	0	0.124360211327394	150	0.323889373229566	1.1320813400788	0	0	0.124360211327394	1100	0.0313491513551788	0.360740371877412	0	0	0.00714976701639462	100	0.364188364406899	2.84718143694995	0	0	0.152619842848925
"Aquaporin_mediated transport"	650	0.0284745759093243	0.127090787200246	0	0	0.00790897834664147	650	0.0376129258570399	0.360182111140667	0	0	0.00942780550532502	650	0.0284745759093243	0.127090787200246	0	0	0.00790897834664147	850	0.0376129258570399	0.360182111140667	0	0	0.00942780550532502	100	0	0	0	0	0
"Arachidonic acid metabolism"	150	0.387210924868286	1.5906382095958	0	0	0.144309638060751	100	0.545751661940673	2.39546248951293	0	0	0.210296948948643	150	0.387210924868286	1.5906382095958	0	0	0.144309638060751	100	0.545751661940673	2.39546248951293	0	0	0.210296948948643	1200	0.00618023991937142	0.0212061315086334	0	0	0.00138016157557666
"Assembly of collagen fibrils and other multimeric structures"	250	0.185891243252413	0.69574119241226	0	0	0.0657214173351179	100	0.432520774977552	1.84754990184854	0	0	0.175564313646888	250	0.185891243252413	0.69574119241226	0	0	0.0657214173351179	100	0.432520774977552	1.84754990184854	0	0	0.175564313646888	700	0.0648468430874171	0.378513531300724	0	0	0.0172225151730696
"Assembly of the pre_replicative complex"	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	650	0.0501842618712656	0.655927031634708	0	0	0.0127848416780313	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	800	0.0501842618712656	0.655927031634708	0	0	0.0127848416780313	100	1.11191933311082	7.20205115025047	0.0344827586206897	100	0.335536482858884
"Association of licensing factors with the pre_replicative complex"	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	500	0.0661151491814179	0.773494352208136	0	0	0.0197699568272159	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	500	0.0661151491814179	0.773494352208136	0	0	0.0197699568272159	100	1.11191933311082	8.82570511024473	0.0689655172413793	100	0.335536482858884
"Association of TriCslashCCT with target proteins during biosynthesis"	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	150	0.248346499126852	1.46225716117467	0	0	0.0988474708936614	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	150	0.248346499126852	1.46225716117467	0	0	0.0988474708936614	100	0.392349301788387	2.04458529854814	0	0	0.162265934738841
"Asymmetric localization of PCP proteins"	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	650	0.0478846736446742	0.546464827440205	0	0	0.0122129228569631	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	800	0.0478846736446742	0.546464827440205	0	0	0.0122129228569631	100	0.546132117656936	4.41782393544686	0	0	0.210407147166335
"A tetrasaccharide linker sequence is required for GAG synthesis"	350	0.0712817261211173	0.35117823999928	0	0	0.0239653756475676	100	0.0712817261211173	0.35117823999928	0	0	0.0239653756475676	350	0.0712817261211173	0.35117823999928	0	0	0.0239653756475676	100	0	0	0	0	0	100	0	0	0	0	0
"ATF4 activates genes"	300	0.158671709160566	0.509849949159847	0	0	0.053704551819771	300	0.158671709160566	0.607857682948865	0	0	0.053704551819771	300	0.158671709160566	0.509849949159847	0	0	0.053704551819771	800	0.0501842618712656	0.607857682948865	0	0	0.0127848416780313	100	0.488160563121803	2.5793373383574	0	0	0.193122840589254
"Attenuation phase"	1500	0.274522398589394	0.790830296361472	0	0	0.0492644855025389	100	0.274522398589394	0.790830296361472	0	0	0.0492644855025389	1500	0.274522398589394	0.790830296361472	0	0	0.0492644855025389	100	0	0	0	0	0	500	0.173813289150404	1.26061387393653	0	0	0.0493024856880411
"AUF1 hnRNP D0 binds and destabilizes mRNA"	650	0.0284745759093243	0.109918956409505	0	0	0.00790897834664147	650	0.0478846736446742	0.545117179705345	0	0	0.0122129228569631	650	0.0284745759093243	0.109918956409505	0	0	0.00790897834664147	800	0.0478846736446742	0.545117179705345	0	0	0.0122129228569631	100	0.546132117656936	4.82153650532239	0	0	0.210407147166335
"AURKA Activation by TPX2"	750	0.399772689962073	3.15035045499629	0	0	0.088141667751682	400	0.399772689962073	3.15035045499629	0	0	0.088141667751682	750	0.399772689962073	3.15035045499629	0	0	0.088141667751682	400	0.0355752525695378	0.476044148673705	0	0	0.0116499636676726	300	0.0744164992679467	0.533579937090243	0	0	0.0262495179455528
"Autodegradation of Cdh1 by Cdh1:APCslashC"	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	100	0.255256968713326	1.57826806540448	0	0	0.112641302875763	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	100	0.255256968713326	1.57826806540448	0	0	0.112641302875763	100	0.544013597529043	3.14772029006977	0	0	0.209792988554724
"Autodegradation of the E3 ubiquitin ligase COP1"	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	650	0.0501842618712656	0.552231355242412	0	0	0.0127848416780313	650	0.0284745759093243	0.0818326648967227	0	0	0.00790897834664147	800	0.0501842618712656	0.552231355242412	0	0	0.0127848416780313	100	0.552209655930559	4.60655373254953	0	0	0.212161821362454
"Base Excision Repair"	750	0.0166514691987331	0.0349325939354373	0	0	0.00441703934786319	350	0.0849044287495453	0.631497251244006	0	0	0.0283541571893699	750	0.0166514691987331	0.0349325939354373	0	0	0.00441703934786319	350	0.0849044287495453	0.631497251244006	0	0	0.0283541571893699	850	0.0180893352153402	0.0923348677826	0	0	0.00457842303992054
"Basigin interactions"	1100	0.0605387211614204	0.360909087476471	0	0	0.0136084744718076	100	0.0605387211614204	0.360909087476471	0	0	0.0136084744718076	1100	0.0605387211614204	0.360909087476471	0	0	0.0136084744718076	100	0	0	0	0	0	400	0.152596462510915	1.1669179381023	0	0	0.0471746402653203
"BBSome_mediated cargo_targeting to cilium"	1150	0.000300084305422798	0.000801598325043644	0	0	0.0000683279460479345	1000	0.0344235580895607	0.254978604183485	0	0	0.00812963733205755	1150	0.000300084305422798	0.000801598325043644	0	0	0.0000683279460479345	1000	0.0344235580895607	0.254978604183485	0	0	0.00812963733205755	1300	0.00334374202348208	0.0105571556290201	0	0	0.000724811807339429
"Beta_catenin phosphorylation cascade"	700	0.0184254950519611	0.0533580889873984	0	0	0.00500768753760438	700	0.11429611059295	0.996428708541311	0	0	0.0288893817506197	700	0.0184254950519611	0.0533580889873984	0	0	0.00500768753760438	750	0.11429611059295	0.996428708541311	0	0	0.0288893817506197	100	0.53357665058821	2.60284968269091	0	0	0.2067482521367
"Beta defensins"	100	0.660312321630782	1.99585240692595	0	0	0.241655032077252	100	0.660312321630782	1.99585240692595	0	0	0.241655032077252	100	0.660312321630782	1.99585240692595	0	0	0.241655032077252	100	0	0	0	0	0	900	0.207781160993418	1.17540376007821	0	0	0.0469038003142712
"Bile acid and bile salt metabolism"	1300	0.0000858119173979235	0.000219386931052546	0	0	0.0000186314798225708	250	0.270463523617787	1.78781599020315	0	0	0.0918099659464743	1300	0.0000858119173979235	0.000219386931052546	0	0	0.0000186314798225708	250	0.270463523617787	1.78781599020315	0	0	0.0918099659464743	1000	0.0212091675526079	0.0794316301863406	0	0	0.00504191131846182
"Binding and Uptake of Ligands by Scavenger Receptors"	400	0.0585353138167231	0.316370406282221	0	0	0.0189516887452521	100	0.432520774977552	1.82803307622436	0	0	0.175564313646888	400	0.0585353138167231	0.316370406282221	0	0	0.0189516887452521	100	0.432520774977552	1.82803307622436	0	0	0.175564313646888	150	0.665662280466326	4.2245303814799	0	0	0.21848210961009
