term,TopCut_highestMinuslogP_up,maximum_MinuslogP_up,sum_MinuslogP_up,times_significant_up,FirstTopCut_significant_up,PEBBA_score_up
Assembly of collagen fibrils and other multimeric structures,100,-0.0,0.0,0.0,0,0.0
Collagen formation,100,-0.0,0.0,0.0,0,0.0
Collagen biosynthesis and modifying enzymes,100,-0.0,0.0,0.0,0,0.0
Collagen degradation,950,0.6375118398532623,6.635814735639429,0.0,0,0.11547526968074996
Activation of Matrix Metalloproteinases,100,-0.0,0.0,0.0,0,0.0
Hyaluronan metabolism,100,-0.0,0.0,0.0,0,0.0
Activation of SMO,100,-0.0,0.0,0.0,0,0.0
Synthesis of glycosylphosphatidylinositol GPI,100,-0.0,0.0,0.0,0,0.0
Post_translational modification: synthesis of GPI_anchored proteins,100,-0.0,0.0,0.0,0,0.0
Common Pathway of Fibrin Clot Formation,100,-0.0,0.0,0.0,0,0.0
Formation of Fibrin Clot Clotting Cascade,650,0.3814193796883901,2.26931268547212,0.0,0,0.08933869265561212
Intrinsic Pathway of Fibrin Clot Formation,100,-0.0,0.0,0.0,0,0.0
Gamma carboxylation hypusine formation and arylsulfatase activation,100,-0.0,0.0,0.0,0,0.0
Glycosphingolipid metabolism,950,0.7067543167878418,6.088872247174139,0.034482758620689655,950,0.12413811661922114
Sphingolipid metabolism,950,0.7067543167878418,7.378879369380564,0.034482758620689655,950,0.12413811661922114
Sphingolipid de novo biosynthesis,100,-0.0,0.0,0.0,0,0.0
TNF receptor superfamily TNFSF members mediating non_canonical NF_kB pathway,100,-0.0,0.0,0.0,0,0.0
TNFs bind their physiological receptors,100,-0.0,0.0,0.0,0,0.0
Beta defensins,100,-0.0,0.0,0.0,0,0.0
Defensins,100,-0.0,0.0,0.0,0,0.0
Depolymerisation of the Nuclear Lamina,100,-0.0,0.0,0.0,0,0.0
Gap junction assembly,850,0.12847856119010595,0.33635892706959314,0.0,0,0.030792574240856664
Gap junction trafficking,100,-0.0,0.0,0.0,0,0.0
Gap junction trafficking and regulation,100,-0.0,0.0,0.0,0,0.0
Golgi Associated Vesicle Biogenesis,100,-0.0,0.0,0.0,0,0.0
trans_Golgi Network Vesicle Budding,100,-0.0,0.0,0.0,0,0.0
Clathrin derived vesicle budding,100,-0.0,0.0,0.0,0,0.0
Lysosome Vesicle Biogenesis,100,-0.0,0.0,0.0,0,0.0
Nef_mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,100,-0.0,0.0,0.0,0,0.0
The role of Nef in HIV_1 replication and disease pathogenesis,100,-0.0,0.0,0.0,0,0.0
Trafficking of GluR2_containing AMPA receptors,100,-0.0,0.0,0.0,0,0.0
Trafficking of AMPA receptors,100,-0.0,0.0,0.0,0,0.0
Glutamate Binding Activation of AMPA Receptors and Synaptic Plasticity,100,-0.0,0.0,0.0,0,0.0
EGFR downregulation,100,-0.0,0.0,0.0,0,0.0
WNT5A_dependent internalization of FZD4,100,-0.0,0.0,0.0,0,0.0
Recycling pathway of L1,100,-0.0,0.0,0.0,0,0.0
L1CAM interactions,100,-0.0,0.0,0.0,0,0.0
Interaction between L1 and Ankyrins,100,-0.0,0.0,0.0,0,0.0
Biosynthesis of the N_glycan precursor dolichol lipid_linked oligosaccharide LLO and transfer to a nascent protein,100,-0.0,0.0,0.0,0,0.0
Synthesis of substrates in N_glycan biosythesis,100,-0.0,0.0,0.0,0,0.0
Sialic acid metabolism,900,0.3215618777670921,2.9739536109162694,0.0,0,0.06874605842932566
N_Glycan antennae elongation,1150,0.4974262681961858,4.643020923173293,0.0,0,0.08924881738866436
N_glycan antennae elongation in the medialslashtrans_Golgi,1150,0.4974262681961858,4.878768787991689,0.0,0,0.08924881738866436
Intra_Golgi traffic,100,-0.0,0.0,0.0,0,0.0
Retrograde transport at the Trans_Golgi_Network,100,-0.0,0.0,0.0,0,0.0
COPI_dependent Golgi_to_ER retrograde traffic,100,-0.0,0.0,0.0,0,0.0
Kinesins,100,-0.0,0.0,0.0,0,0.0
COPI_independent Golgi_to_ER retrograde traffic,100,-0.0,0.0,0.0,0,0.0
COPI_mediated anterograde transport,100,-0.0,0.0,0.0,0,0.0
COPII Coat Protein 2 Mediated Vesicle Transport,100,-0.0,0.0,0.0,0,0.0
Cargo concentration in the ER,100,-0.0,0.0,0.0,0,0.0
Intraflagellar transport,100,-0.0,0.0,0.0,0,0.0
Antigen Presentation: Folding assembly and peptide loading of class I MHC,100,-0.0,0.0,0.0,0,0.0
N_glycan trimming in the ER and CalnexinslashCalreticulin cycle,100,-0.0,0.0,0.0,0,0.0
Calnexinslashcalreticulin cycle,100,-0.0,0.0,0.0,0,0.0
XBP1S activates chaperone genes,100,-0.0,0.0,0.0,0,0.0
IRE1alpha activates chaperones,100,-0.0,0.0,0.0,0,0.0
Unfolded Protein Response UPR,100,-0.0,0.0,0.0,0,0.0
PERK regulates gene expression,100,-0.0,0.0,0.0,0,0.0
ATF4 activates genes,100,-0.0,0.0,0.0,0,0.0
KSRP KHSRP binds and destabilizes mRNA,100,-0.0,0.0,0.0,0,0.0
Tristetraprolin TTP ZFP36 binds and destabilizes mRNA,100,-0.0,0.0,0.0,0,0.0
Butyrate Response Factor 1 BRF1 binds and destabilizes mRNA,100,-0.0,0.0,0.0,0,0.0
mRNA decay by 5  to 3  exoribonuclease,100,-0.0,0.0,0.0,0,0.0
Deadenylation_dependent mRNA decay,100,-0.0,0.0,0.0,0,0.0
Deadenylation of mRNA,100,-0.0,0.0,0.0,0,0.0
TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain,100,-0.0,0.0,0.0,0,0.0
TP53 Regulates Transcription of Cell Cycle Genes,100,-0.0,0.0,0.0,0,0.0
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,100,-0.0,0.0,0.0,0,0.0
TP53 Regulates Transcription of Cell Death Genes,1400,0.05999198285096348,0.09741986365147343,0.0,0,0.01228007664182557
TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,100,-0.0,0.0,0.0,0,0.0
Intrinsic Pathway for Apoptosis,100,-0.0,0.0,0.0,0,0.0
Activation of BH3_only proteins,100,-0.0,0.0,0.0,0,0.0
Activation of BAD and translocation to mitochondria,100,-0.0,0.0,0.0,0,0.0
Translocation of GLUT4 to the plasma membrane,100,-0.0,0.0,0.0,0,0.0
TP53 Regulates Metabolic Genes,100,-0.0,0.0,0.0,0,0.0
PI3K Cascade,100,-0.0,0.0,0.0,0,0.0
mTORC1_mediated signalling,100,-0.0,0.0,0.0,0,0.0
PKB_mediated events,100,-0.0,0.0,0.0,0,0.0
mTOR signalling,100,-0.0,0.0,0.0,0,0.0
Energy dependent regulation of mTOR by LKB1_AMPK,100,-0.0,0.0,0.0,0,0.0
Macroautophagy,100,-0.0,0.0,0.0,0,0.0
PD_1 signaling,100,-0.0,0.0,0.0,0,0.0
Phosphorylation of CD3 and TCR zeta chains,100,-0.0,0.0,0.0,0,0.0
Translocation of ZAP_70 to Immunological synapse,100,-0.0,0.0,0.0,0,0.0
Generation of second messenger molecules,100,-0.0,0.0,0.0,0,0.0
Costimulation by the CD28 family,100,-0.0,0.0,0.0,0,0.0
CD28 co_stimulation,100,-0.0,0.0,0.0,0,0.0
CD28 dependent PI3KslashAkt signaling,100,-0.0,0.0,0.0,0,0.0
VEGFR2 mediated vascular permeability,100,-0.0,0.0,0.0,0,0.0
Constitutive Signaling by AKT1 E17K in Cancer,100,-0.0,0.0,0.0,0,0.0
Regulation of TP53 Activity through Acetylation,100,-0.0,0.0,0.0,0,0.0
Regulation of gene expression in beta cells,100,-0.0,0.0,0.0,0,0.0
Regulation of beta_cell development,100,-0.0,0.0,0.0,0,0.0
Regulation of innate immune responses to cytosolic DNA,100,-0.0,0.0,0.0,0,0.0
STING mediated induction of host immune responses,100,-0.0,0.0,0.0,0,0.0
HSF1 activation,1500,0.22989479564991924,0.31877866694510976,0.0,0,0.04214724125173932
Attenuation phase,1500,0.22989479564991924,0.22989479564991924,0.0,0,0.04214724125173932
HSF1_dependent transactivation,100,-0.0,0.0,0.0,0,0.0
Cellular response to heat stress,100,-0.0,0.0,0.0,0,0.0
Regulation of HSF1_mediated heat shock response,100,-0.0,0.0,0.0,0,0.0
SUMOylation of DNA damage response and repair proteins,100,-0.0,0.0,0.0,0,0.0
SUMO E3 ligases SUMOylate target proteins,100,-0.0,0.0,0.0,0,0.0
Transcriptional regulation by small RNAs,100,-0.0,0.0,0.0,0,0.0
Nuclear Envelope Breakdown,100,-0.0,0.0,0.0,0,0.0
Metabolism of non_coding RNA,100,-0.0,0.0,0.0,0,0.0
snRNP Assembly,100,-0.0,0.0,0.0,0,0.0
SUMOylation of RNA binding proteins,100,-0.0,0.0,0.0,0,0.0
Hexose transport,100,-0.0,0.0,0.0,0,0.0
Glucose transport,100,-0.0,0.0,0.0,0,0.0
SUMOylation of DNA replication proteins,100,-0.0,0.0,0.0,0,0.0
Viral Messenger RNA Synthesis,100,-0.0,0.0,0.0,0,0.0
Transport of Mature mRNA Derived from an Intronless Transcript,100,-0.0,0.0,0.0,0,0.0
Transport of Mature mRNAs Derived from Intronless Transcripts,100,-0.0,0.0,0.0,0,0.0
Transport of the SLBP Dependant Mature mRNA,100,-0.0,0.0,0.0,0,0.0
Transport of the SLBP independent Mature mRNA,100,-0.0,0.0,0.0,0,0.0
Nuclear Pore Complex NPC Disassembly,100,-0.0,0.0,0.0,0,0.0
Nuclear import of Rev protein,100,-0.0,0.0,0.0,0,0.0
Interactions of Rev with host cellular proteins,100,-0.0,0.0,0.0,0,0.0
Rev_mediated nuclear export of HIV RNA,100,-0.0,0.0,0.0,0,0.0
NEPslashNS2 Interacts with the Cellular Export Machinery,100,-0.0,0.0,0.0,0,0.0
Export of Viral Ribonucleoproteins from Nucleus,100,-0.0,0.0,0.0,0,0.0
Regulation of Glucokinase by Glucokinase Regulatory Protein,100,-0.0,0.0,0.0,0,0.0
Transport of Ribonucleoproteins into the Host Nucleus,100,-0.0,0.0,0.0,0,0.0
Vpr_mediated nuclear import of PICs,100,-0.0,0.0,0.0,0,0.0
Interactions of Vpr with host cellular proteins,100,-0.0,0.0,0.0,0,0.0
Host Interactions with Influenza Factors,100,-0.0,0.0,0.0,0,0.0
NS1 Mediated Effects on Host Pathways,100,-0.0,0.0,0.0,0,0.0
ISG15 antiviral mechanism,100,-0.0,0.0,0.0,0,0.0
Antiviral mechanism by IFN_stimulated genes,100,-0.0,0.0,0.0,0,0.0
tRNA processing in the nucleus,100,-0.0,0.0,0.0,0,0.0
Cleavage of Growing Transcript in the Termination Region,100,-0.0,0.0,0.0,0,0.0
RNA Polymerase II Transcription Termination,100,-0.0,0.0,0.0,0,0.0
Post_Elongation Processing of the Transcript,100,-0.0,0.0,0.0,0,0.0
mRNA 3 _end processing,100,-0.0,0.0,0.0,0,0.0
Post_Elongation Processing of Intron_Containing pre_mRNA,100,-0.0,0.0,0.0,0,0.0
Transport of Mature Transcript to Cytoplasm,100,-0.0,0.0,0.0,0,0.0
Transport of Mature mRNA derived from an Intron_Containing Transcript,100,-0.0,0.0,0.0,0,0.0
mRNA Splicing _ Minor Pathway,100,-0.0,0.0,0.0,0,0.0
Post_Elongation Processing of Intronless pre_mRNA,100,-0.0,0.0,0.0,0,0.0
Processing of Capped Intronless Pre_mRNA,100,-0.0,0.0,0.0,0,0.0
Processing of Intronless Pre_mRNAs,100,-0.0,0.0,0.0,0,0.0
rRNA modification in the nucleus,100,-0.0,0.0,0.0,0,0.0
Selenocysteine synthesis,100,-0.0,0.0,0.0,0,0.0
Viral mRNA Translation,100,-0.0,0.0,0.0,0,0.0
Peptide chain elongation,100,-0.0,0.0,0.0,0,0.0
Eukaryotic Translation Elongation,100,-0.0,0.0,0.0,0,0.0
Eukaryotic Translation Termination,100,-0.0,0.0,0.0,0,0.0
Nonsense Mediated Decay NMD independent of the Exon Junction Complex EJC,100,-0.0,0.0,0.0,0,0.0
Formation of a pool of free 40S subunits,100,-0.0,0.0,0.0,0,0.0
Formation of the ternary complex and subsequently the 43S complex,100,-0.0,0.0,0.0,0,0.0
Ribosomal scanning and start codon recognition,100,-0.0,0.0,0.0,0,0.0
Translation initiation complex formation,100,-0.0,0.0,0.0,0,0.0
Activation of the mRNA upon binding of the cap_binding complex and eIFs and subsequent binding to 43S,100,-0.0,0.0,0.0,0,0.0
Formation of Senescence_Associated Heterochromatin Foci SAHF,100,-0.0,0.0,0.0,0,0.0
DNA DamageslashTelomere Stress Induced Senescence,100,-0.0,0.0,0.0,0,0.0
Oxidative Stress Induced Senescence,100,-0.0,0.0,0.0,0,0.0
Senescence_Associated Secretory Phenotype SASP,100,-0.0,0.0,0.0,0,0.0
Amyloid fiber formation,100,-0.0,0.0,0.0,0,0.0
Deposition of new CENPA_containing nucleosomes at the centromere,100,-0.0,0.0,0.0,0,0.0
Nucleosome assembly,100,-0.0,0.0,0.0,0,0.0
Chromosome Maintenance,100,-0.0,0.0,0.0,0,0.0
Telomere Maintenance,100,-0.0,0.0,0.0,0,0.0
Meiotic recombination,100,-0.0,0.0,0.0,0,0.0
Meiosis,100,-0.0,0.0,0.0,0,0.0
Meiotic synapsis,100,-0.0,0.0,0.0,0,0.0
Packaging Of Telomere Ends,100,-0.0,0.0,0.0,0,0.0
SIRT1 negatively regulates rRNA Expression,100,-0.0,0.0,0.0,0,0.0
Activated PKN1 stimulates transcription of AR androgen receptor regulated genes KLK2 and KLK3,100,-0.0,0.0,0.0,0,0.0
RNA Polymerase I Promoter Opening,100,-0.0,0.0,0.0,0,0.0
DNA methylation,100,-0.0,0.0,0.0,0,0.0
PRC2 methylates histones and DNA,100,-0.0,0.0,0.0,0,0.0
Condensation of Prophase Chromosomes,100,-0.0,0.0,0.0,0,0.0
ERCC6 CSB and EHMT2 G9a positively regulate rRNA expression,100,-0.0,0.0,0.0,0,0.0
RHO GTPases activate PKNs,100,-0.0,0.0,0.0,0,0.0
Formation of the beta_catenin:TCF transactivating complex,100,-0.0,0.0,0.0,0,0.0
Activation of anterior HOX genes in hindbrain development during early embryogenesis,100,-0.0,0.0,0.0,0,0.0
Activation of HOX genes during differentiation,100,-0.0,0.0,0.0,0,0.0
B_WICH complex positively regulates rRNA expression,100,-0.0,0.0,0.0,0,0.0
Positive epigenetic regulation of rRNA expression,100,-0.0,0.0,0.0,0,0.0
Negative epigenetic regulation of rRNA expression,100,-0.0,0.0,0.0,0,0.0
NoRC negatively regulates rRNA expression,100,-0.0,0.0,0.0,0,0.0
RNA Polymerase I Chain Elongation,100,-0.0,0.0,0.0,0,0.0
RNA Polymerase I Transcription,100,-0.0,0.0,0.0,0,0.0
RNA Polymerase I Promoter Clearance,100,-0.0,0.0,0.0,0,0.0
RNA Polymerase I Transcription Initiation,100,-0.0,0.0,0.0,0,0.0
RNA Polymerase I Promoter Escape,100,-0.0,0.0,0.0,0,0.0
RNA Polymerase I Transcription Termination,100,-0.0,0.0,0.0,0,0.0
RMTs methylate histone arginines,100,-0.0,0.0,0.0,0,0.0
HDACs deacetylate histones,100,-0.0,0.0,0.0,0,0.0
PKMTs methylate histone lysines,100,-0.0,0.0,0.0,0,0.0
HDMs demethylate histones,100,-0.0,0.0,0.0,0,0.0
Transcriptional regulation of pluripotent stem cells,100,-0.0,0.0,0.0,0,0.0
RNA Polymerase III Transcription Termination,100,-0.0,0.0,0.0,0,0.0
RNA Polymerase III Chain Elongation,100,-0.0,0.0,0.0,0,0.0
RNA Polymerase III Transcription Initiation From Type 2 Promoter,100,-0.0,0.0,0.0,0,0.0
RNA Polymerase III Transcription Initiation From Type 1 Promoter,100,-0.0,0.0,0.0,0,0.0
RNA Polymerase III Abortive And Retractive Initiation,100,-0.0,0.0,0.0,0,0.0
RNA Polymerase III Transcription,100,-0.0,0.0,0.0,0,0.0
RNA Polymerase III Transcription Initiation,100,-0.0,0.0,0.0,0,0.0
RNA Polymerase III Transcription Initiation From Type 3 Promoter,100,-0.0,0.0,0.0,0,0.0
RNA polymerase II transcribes snRNA genes,100,-0.0,0.0,0.0,0,0.0
PIWI_interacting RNA piRNA biogenesis,100,-0.0,0.0,0.0,0,0.0
MicroRNA miRNA biogenesis,100,-0.0,0.0,0.0,0,0.0
FGFR2 alternative splicing,100,-0.0,0.0,0.0,0,0.0
Signaling by FGFR2 IIIa TM,100,-0.0,0.0,0.0,0,0.0
Abortive elongation of HIV_1 transcript in the absence of Tat,100,-0.0,0.0,0.0,0,0.0
Formation of the Early Elongation Complex,100,-0.0,0.0,0.0,0,0.0
Formation of the HIV_1 Early Elongation Complex,100,-0.0,0.0,0.0,0,0.0
Formation of HIV elongation complex in the absence of HIV Tat,100,-0.0,0.0,0.0,0,0.0
RNA Polymerase II Transcription Elongation,100,-0.0,0.0,0.0,0,0.0
Formation of RNA Pol II elongation complex,100,-0.0,0.0,0.0,0,0.0
HIV Transcription Elongation,100,-0.0,0.0,0.0,0,0.0
Tat_mediated elongation of the HIV_1 transcript,100,-0.0,0.0,0.0,0,0.0
Formation of HIV_1 elongation complex containing HIV_1 Tat,100,-0.0,0.0,0.0,0,0.0
Pausing and recovery of Tat_mediated HIV elongation,100,-0.0,0.0,0.0,0,0.0
Tat_mediated HIV elongation arrest and recovery,100,-0.0,0.0,0.0,0,0.0
HIV elongation arrest and recovery,100,-0.0,0.0,0.0,0,0.0
Pausing and recovery of HIV elongation,100,-0.0,0.0,0.0,0,0.0
Elongation arrest and recovery,100,-0.0,0.0,0.0,0,0.0
TP53 Regulates Transcription of DNA Repair Genes,100,-0.0,0.0,0.0,0,0.0
Transcription of the HIV genome,100,-0.0,0.0,0.0,0,0.0
RNA Polymerase II Pre_transcription Events,100,-0.0,0.0,0.0,0,0.0
RNA Polymerase II HIV Promoter Escape,100,-0.0,0.0,0.0,0,0.0
RNA Polymerase II Promoter Escape,100,-0.0,0.0,0.0,0,0.0
RNA Polymerase II Transcription Initiation And Promoter Clearance,100,-0.0,0.0,0.0,0,0.0
RNA Polymerase II Transcription Initiation,100,-0.0,0.0,0.0,0,0.0
RNA Polymerase II Transcription Pre_Initiation And Promoter Opening,100,-0.0,0.0,0.0,0,0.0
HIV Transcription Initiation,100,-0.0,0.0,0.0,0,0.0
RNA Pol II CTD phosphorylation and interaction with CE,100,-0.0,0.0,0.0,0,0.0
mRNA Capping,100,-0.0,0.0,0.0,0,0.0
Formation of TC_NER Pre_Incision Complex,100,-0.0,0.0,0.0,0,0.0
Dual incision in TC_NER,100,-0.0,0.0,0.0,0,0.0
Gap_filling DNA repair synthesis and ligation in TC_NER,100,-0.0,0.0,0.0,0,0.0
Transcription_Coupled Nucleotide Excision Repair TC_NER,100,-0.0,0.0,0.0,0,0.0
Global Genome Nucleotide Excision Repair GG_NER,100,-0.0,0.0,0.0,0,0.0
Formation of Incision Complex in GG_NER,100,-0.0,0.0,0.0,0,0.0
DNA Damage Recognition in GG_NER,100,-0.0,0.0,0.0,0,0.0
Processing of DNA double_strand break ends,100,-0.0,0.0,0.0,0,0.0
G2slashM DNA damage checkpoint,100,-0.0,0.0,0.0,0,0.0
Nonhomologous End_Joining NHEJ,100,-0.0,0.0,0.0,0,0.0
Recruitment and ATM_mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,100,-0.0,0.0,0.0,0,0.0
DNA Double Strand Break Response,100,-0.0,0.0,0.0,0,0.0
HDR through Single Strand Annealing SSA,100,-0.0,0.0,0.0,0,0.0
Presynaptic phase of homologous DNA pairing and strand exchange,100,-0.0,0.0,0.0,0,0.0
Homologous DNA Pairing and Strand Exchange,100,-0.0,0.0,0.0,0,0.0
HDR through Homologous Recombination HRR,100,-0.0,0.0,0.0,0,0.0
Resolution of D_loop Structures through Holliday Junction Intermediates,100,-0.0,0.0,0.0,0,0.0
Resolution of D_Loop Structures,100,-0.0,0.0,0.0,0,0.0
Resolution of D_loop Structures through Synthesis_Dependent Strand Annealing SDSA,100,-0.0,0.0,0.0,0,0.0
Regulation of TP53 Activity through Phosphorylation,1200,0.030354360131868197,0.030354360131868197,0.0,0,0.006697493765505765
Regulation of TP53 Expression and Degradation,100,-0.0,0.0,0.0,0,0.0
Regulation of TP53 Degradation,100,-0.0,0.0,0.0,0,0.0
Regulation of TP53 Activity through Methylation,1200,0.4194086318997797,1.8152364112951664,0.0,0,0.07673761448016753
Translesion Synthesis by POLH,100,-0.0,0.0,0.0,0,0.0
Translesion synthesis by POLK,1200,0.0021198011474289477,0.0021198011474289477,0.0,0,0.00047435209551000023
Translesion synthesis by REV1,1200,0.0021198011474289477,0.0021198011474289477,0.0,0,0.00047435209551000023
Translesion synthesis by POLI,1200,0.0021198011474289477,0.0021198011474289477,0.0,0,0.00047435209551000023
Termination of translesion DNA synthesis,750,0.18513620930179156,0.44397744756058327,0.0,0,0.04520631640073211
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,1200,0.030354360131868197,0.03703098371191776,0.0,0,0.006697493765505765
DNA Damage Bypass,1200,0.06024891403647658,0.08597212213897558,0.0,0,0.013097787795947375
Recognition of DNA damage by PCNA_containing replication complex,100,-0.0,0.0,0.0,0,0.0
Gap_filling DNA repair synthesis and ligation in GG_NER,100,-0.0,0.0,0.0,0,0.0
Dual Incision in GG_NER,100,-0.0,0.0,0.0,0,0.0
Base Excision Repair,100,-0.0,0.0,0.0,0,0.0
Resolution of Abasic Sites AP sites,100,-0.0,0.0,0.0,0,0.0
Resolution of AP sites via the multiple_nucleotide patch replacement pathway,100,-0.0,0.0,0.0,0,0.0
PCNA_Dependent Long Patch Base Excision Repair,100,-0.0,0.0,0.0,0,0.0
Extension of Telomeres,100,-0.0,0.0,0.0,0,0.0
Telomere C_strand Lagging Strand Synthesis,100,-0.0,0.0,0.0,0,0.0
Lagging Strand Synthesis,100,-0.0,0.0,0.0,0,0.0
DNA strand elongation,100,-0.0,0.0,0.0,0,0.0
Mismatch Repair,100,-0.0,0.0,0.0,0,0.0
Processive synthesis on the lagging strand,100,-0.0,0.0,0.0,0,0.0
E2F mediated regulation of DNA replication,100,-0.0,0.0,0.0,0,0.0
G1slashS_Specific Transcription,100,-0.0,0.0,0.0,0,0.0
Association of licensing factors with the pre_replicative complex,100,-0.0,0.0,0.0,0,0.0
Activation of ATR in response to replication stress,100,-0.0,0.0,0.0,0,0.0
Activation of the pre_replicative complex,100,-0.0,0.0,0.0,0,0.0
G0 and Early G1,100,-0.0,0.0,0.0,0,0.0
Signal transduction by L1,100,-0.0,0.0,0.0,0,0.0
RAF_independent MAPK1slash3 activation,100,-0.0,0.0,0.0,0,0.0
Interleukin_6 family signaling,100,-0.0,0.0,0.0,0,0.0
IL_6_type cytokine receptor ligand interactions,100,-0.0,0.0,0.0,0,0.0
Regulation of IFNA signaling,100,-0.0,0.0,0.0,0,0.0
